category	status	active_path	provenance_or_manifest	producer_or_validator	consumer_or_output	notes
product_lane_paper1	near_complete	paper1/manuscript/; paper1/release/; paper1/provenance/; paper1/reports/	WORKSPACE_LAYOUT.md; manuscripts/MANUSCRIPT_ASSET_INDEX_20260510.md	Paper1 manuscript/release workflow	main manuscript; supplement/appendix; cover letter	Primary near-complete paper lane.
product_lane_paper2_107	active_work2	paper2/; paper2_aihwkit_baseline/; coordination/remote_tasks/107/	WORKSPACE_LAYOUT.md; coordination/remote_tasks/107/REMOTE_107_PHASE_P8_CORRECTED_NOISE_WORK2_TASKLIST_20260509.md	107 selective KV-cache workflow	Paper2/Work-2 evidence and tasks	Keep separate from Paper1 release evidence.
product_lane_thesis	active_thesis	thesis/; manuscripts/thesis/	WORKSPACE_LAYOUT.md; manuscripts/MANUSCRIPT_ASSET_INDEX_20260510.md	thesis writing workflow	degree thesis	Reuse Paper1 assets only through traceable paths.
paper1_manuscript	active	paper1/manuscript/	manuscripts/MANUSCRIPT_ASSET_INDEX_20260510.md	latex build logged in logs/latex_build_manuscripts_paper1_20260510_004625.log	main.pdf; supplementary_main.pdf; cover_letter.pdf	Canonical editable Paper-1 source; compatibility paths manuscripts/paper1/src and paper/latex_gpt point here.
paper1_release	frozen_active	paper1/release/paper1_submission_bundle_20260509_final/	paper1/release/paper1_submission_bundle_20260509_final/SHA256SUMS.txt	bundle refresh logs in logs/p8_trackE_* and latex build logs	submission upload bundle	Final SHA: 32959fac881ad1659d2da0a4ebeba30846dac72986e032dc411ea6e916c6f4a4.
paper1_provenance_archive	backup_deprecated_assets	paper1/provenance/paper1_provenance_archive_20260509/	paper1/provenance/paper1_provenance_archive_20260509/PROVENANCE_README.md; SHA256SUMS.txt	curated during Paper-1 final bundle freeze	backup/orphan/deprecated figures and old JSON	Not active release evidence unless copied into canonical source_data and re-indexed.
canonical_json_evidence	active	paper1/manuscript/source_data/canonical_json/	paper1/manuscript/source_data/canonical_json/manifest_canonical_json_20260509.csv; .json	Paper-1 P6/P7/P8 evidence consolidation	Paper-1 source data and release bundle source_data/canonical_json	Small JSON evidence only; checkpoint .pt payloads intentionally excluded from release bundle.
deprecated_json_evidence	deprecated	paper1/manuscript/source_data/canonical_json/deprecated_20260501_old_protocol/	manifest_canonical_json_20260501.csv; .json	old 2026-05-01 protocol	provenance only	Not active release evidence.
figure_source_data	active	paper1/manuscript/source_data/	manifest_all_figures_20260501.csv; manifest_paper1_spine.json	tools/plotting/plot_paper1_spine.py; tools/plotting/plot_paper1_decision_map.py	fig1_paper1_spine.csv; fig2_paper1_decision_map.csv; tab_pcm_precision_ladder.csv	CSV/JSON source data used by Paper-1 figures/tables.
plotting_scripts	active	tools/plotting/	this TSV; WORKSPACE_LAYOUT.md	plot_paper1_spine.py; plot_paper1_decision_map.py	Paper-1 source_data CSVs and generated figures	Reusable plotting scripts; old one-offs belong in archive.
validation_scripts	active	tools/validation/	WORKSPACE_LAYOUT.md	check_local_pcm_precision_ladder.py	PCM precision ladder source evidence	Run only with GPU/training policy awareness; no Python run in this cleanup pass.
latex_used_figures	active	paper1/manuscript/figures/	paper1/provenance/manifests/paper1_used_figures_20260510.tsv	LaTeX dependency manifest pass	main.tex; supplementary_main.tex	Used figure assets for current Paper-1 PDFs.
thesis_used_figures	active_reference	paper1/manuscript/figures/	paper1/provenance/manifests/thesis_used_figures_20260510.tsv	LaTeX dependency manifest pass	thesis/en; thesis/cn	Thesis reuses Paper-1 assets through compatibility path.
unused_figure_candidates	backup_or_deprecated	paper1/provenance/asset_archive/	paper1/provenance/asset_archive/MANIFEST.md; paper1/provenance/manifests/paper1_unused_figure_candidates_20260510.tsv	LaTeX unused-figure pass	provenance only	Not used by current TeX closure; retained for review/rollback.
reference_locks	frozen_active	paper1/provenance/reference_locks/	paper/LOOSE_FILES_MAP_20260510.tsv	Paper1 final wording/figure-lock workflow	result locks; caption locks; figure plan; credit note	Compatibility symlinks remain under paper/ for old docs/scripts.
checkpoint_payloads	protected_local	checkpoints/	checkpoints/INDEX_20260510.md	training/eval scripts in root and tools/validation	Paper-1 evidence and future reproducibility	Do not move/delete during cleanup without explicit approval.
work2_aihwkit_checkpoints	protected_local	paper2_aihwkit_baseline/checkpoints/	markers inside checkpoint subdirs; WORKSPACE_LAYOUT.md	Work-2 AIHWKit/PCM runs	Work-2 only	Keep separate from Paper-1 release evidence.
old_agent_markdown	archived_or_recent_only	coordination/active/; coordination/{dispatches,audits,agent_reports}/; paper1/reports/	archive/README.md; report_md/_gpt/INDEX_CURRENT_20260509.md	agent dispatch/audit workflow	current coordination and Paper-1 reports	Old agent Markdown should stay isolated under archive/residual_report_md_gpt_20260510 or equivalent archive areas.
archive_control	archive_index	archive/	archive/README.md; archive/reorg_20260509/restore/	restore scripts and manifests	rollback/provenance only	Archive is not an active work area.
