strategy	kind	protected_k	instance_index	instance_seed	mc_index	mc_seed	loss	accuracy	test_size	batch_size	sigma_d2d	sigma_c2c	unprotected_n_states	elapsed_seconds	evidence_grade
freeze_top30_d2d	freeze	30	1	20260510	1	20260510	0.5955218922615051	86.38	10000	64	0.1	0.05	16	11.544593811035156	fresh-instance/full-test/sharded
fresh_all_analog	fresh	0	1	20260510	1	20260510	6.1735019149780275	10.0	10000	64	0.1	0.05	16	11.780080556869507	fresh-instance/full-test/sharded
freeze_top20_d2d	freeze	20	1	20260510	1	20260510	1.3215279566764833	68.84	10000	64	0.1	0.05	16	9.643078327178955	fresh-instance/full-test/sharded
freeze_top42_d2d	freeze	42	1	20260510	1	20260510	0.44943668589293956	91.87	10000	64	0.1	0.05	16	10.852570533752441	fresh-instance/full-test/sharded
fresh_all_analog	fresh	0	2	20260610	1	20260610	6.440775509643554	10.0	10000	64	0.1	0.05	16	11.240198850631714	fresh-instance/full-test/sharded
freeze_top20_d2d	freeze	20	2	20260610	1	20260610	1.6189722972869873	61.17	10000	64	0.1	0.05	16	11.06036925315857	fresh-instance/full-test/sharded
freeze_top30_d2d	freeze	30	2	20260610	1	20260610	0.5465721847295761	87.09	10000	64	0.1	0.05	16	9.575551271438599	fresh-instance/full-test/sharded
freeze_top42_d2d	freeze	42	2	20260610	1	20260610	0.44740158067941665	92.1	10000	64	0.1	0.05	16	10.956851720809937	fresh-instance/full-test/sharded
fresh_all_analog	fresh	0	3	20260710	1	20260710	6.088220392608642	10.0	10000	64	0.1	0.05	16	11.100410223007202	fresh-instance/full-test/sharded
freeze_top20_d2d	freeze	20	3	20260710	1	20260710	1.2372153268814088	69.79	10000	64	0.1	0.05	16	9.695515155792236	fresh-instance/full-test/sharded
freeze_top30_d2d	freeze	30	3	20260710	1	20260710	0.6181900643825531	85.72	10000	64	0.1	0.05	16	11.188161134719849	fresh-instance/full-test/sharded
freeze_top42_d2d	freeze	42	3	20260710	1	20260710	0.4622762970685959	91.52	10000	64	0.1	0.05	16	10.936708688735962	fresh-instance/full-test/sharded
fresh_all_analog	fresh	0	4	20260810	1	20260810	6.352934770202637	10.0	10000	64	0.1	0.05	16	9.254536390304565	fresh-instance/full-test/sharded
freeze_top20_d2d	freeze	20	4	20260810	1	20260810	1.2309825105667114	69.35	10000	64	0.1	0.05	16	10.908446311950684	fresh-instance/full-test/sharded
freeze_top30_d2d	freeze	30	4	20260810	1	20260810	0.5786523326396942	86.3	10000	64	0.1	0.05	16	11.048736572265625	fresh-instance/full-test/sharded
freeze_top42_d2d	freeze	42	4	20260810	1	20260810	0.45927635504603387	91.46	10000	64	0.1	0.05	16	9.418044328689575	fresh-instance/full-test/sharded
fresh_all_analog	fresh	0	5	20260910	1	20260910	5.951858465576172	10.0	10000	64	0.1	0.05	16	10.851346254348755	fresh-instance/full-test/sharded
freeze_top20_d2d	freeze	20	5	20260910	1	20260910	1.438624498939514	66.1	10000	64	0.1	0.05	16	11.051660776138306	fresh-instance/full-test/sharded
freeze_top30_d2d	freeze	30	5	20260910	1	20260910	0.5138710916519165	87.72	10000	64	0.1	0.05	16	9.57222056388855	fresh-instance/full-test/sharded
freeze_top42_d2d	freeze	42	5	20260910	1	20260910	0.4497688542664051	91.74	10000	64	0.1	0.05	16	11.094473600387573	fresh-instance/full-test/sharded
fresh_all_analog	fresh	0	6	20261010	1	20261010	5.809001403808594	10.01	10000	64	0.1	0.05	16	10.251903295516968	fresh-instance/full-test/sharded
freeze_top20_d2d	freeze	20	6	20261010	1	20261010	1.1877963373184204	70.2	10000	64	0.1	0.05	16	11.030512571334839	fresh-instance/full-test/sharded
freeze_top30_d2d	freeze	30	6	20261010	1	20261010	0.5797097709655762	85.91	10000	64	0.1	0.05	16	11.066627979278564	fresh-instance/full-test/sharded
freeze_top42_d2d	freeze	42	6	20261010	1	20261010	0.4634477804899216	91.56	10000	64	0.1	0.05	16	9.67009449005127	fresh-instance/full-test/sharded
fresh_all_analog	fresh	0	7	20261110	1	20261110	6.023171765136719	10.0	10000	64	0.1	0.05	16	11.204946041107178	fresh-instance/full-test/sharded
freeze_top20_d2d	freeze	20	7	20261110	1	20261110	1.3646329376220703	66.3	10000	64	0.1	0.05	16	11.154686450958252	fresh-instance/full-test/sharded
freeze_top30_d2d	freeze	30	7	20261110	1	20261110	0.6642917694091797	84.18	10000	64	0.1	0.05	16	9.644420623779297	fresh-instance/full-test/sharded
freeze_top42_d2d	freeze	42	7	20261110	1	20261110	0.44269416176080706	91.81	10000	64	0.1	0.05	16	11.2333984375	fresh-instance/full-test/sharded
fresh_all_analog	fresh	0	8	20261210	1	20261210	6.111536013031006	10.0	10000	64	0.1	0.05	16	11.18734860420227	fresh-instance/full-test/sharded
freeze_top20_d2d	freeze	20	8	20261210	1	20261210	1.3189810256958008	69.76	10000	64	0.1	0.05	16	9.760551691055298	fresh-instance/full-test/sharded
freeze_top30_d2d	freeze	30	8	20261210	1	20261210	0.6065250290393829	86.08	10000	64	0.1	0.05	16	11.2100191116333	fresh-instance/full-test/sharded
freeze_top42_d2d	freeze	42	8	20261210	1	20261210	0.4462891130208969	91.91	10000	64	0.1	0.05	16	11.267897367477417	fresh-instance/full-test/sharded
fresh_all_analog	fresh	0	9	20261310	1	20261310	6.233740338134766	10.0	10000	64	0.1	0.05	16	9.695027828216553	fresh-instance/full-test/sharded
freeze_top20_d2d	freeze	20	9	20261310	1	20261310	1.168449757194519	71.46	10000	64	0.1	0.05	16	11.246533870697021	fresh-instance/full-test/sharded
freeze_top30_d2d	freeze	30	9	20261310	1	20261310	0.6567024332046508	84.9	10000	64	0.1	0.05	16	9.769608974456787	fresh-instance/full-test/sharded
freeze_top42_d2d	freeze	42	9	20261310	1	20261310	0.4563230761408806	91.72	10000	64	0.1	0.05	16	11.283406972885132	fresh-instance/full-test/sharded
fresh_all_analog	fresh	0	10	20261410	1	20261410	5.903161445617676	10.0	10000	64	0.1	0.05	16	11.422522783279419	fresh-instance/full-test/sharded
freeze_top20_d2d	freeze	20	10	20261410	1	20261410	1.4709651866912843	63.33	10000	64	0.1	0.05	16	9.71239948272705	fresh-instance/full-test/sharded
freeze_top30_d2d	freeze	30	10	20261410	1	20261410	0.6076077038288117	85.39	10000	64	0.1	0.05	16	11.131632566452026	fresh-instance/full-test/sharded
freeze_top42_d2d	freeze	42	10	20261410	1	20261410	0.45323214417696	91.44	10000	64	0.1	0.05	16	11.395072221755981	fresh-instance/full-test/sharded
fresh_all_analog	fresh	0	1	20260510	2	20260511	6.178735902404785	10.0	10000	64	0.1	0.05	16	11.502267599105835	fresh-instance/full-test/sharded
fresh_all_analog	fresh	0	1	20260510	3	20260512	6.139024737548828	10.0	10000	64	0.1	0.05	16	9.595633506774902	fresh-instance/full-test/sharded
freeze_top20_d2d	freeze	20	1	20260510	2	20260511	1.322437532234192	68.88	10000	64	0.1	0.05	16	11.012646913528442	fresh-instance/full-test/sharded
freeze_top20_d2d	freeze	20	1	20260510	3	20260512	1.3897516799926757	67.61	10000	64	0.1	0.05	16	11.097110986709595	fresh-instance/full-test/sharded
freeze_top30_d2d	freeze	30	1	20260510	2	20260511	0.5844981247901917	86.52	10000	64	0.1	0.05	16	9.615622758865356	fresh-instance/full-test/sharded
freeze_top30_d2d	freeze	30	1	20260510	3	20260512	0.5957658689498901	86.34	10000	64	0.1	0.05	16	11.121877193450928	fresh-instance/full-test/sharded
freeze_top42_d2d	freeze	42	1	20260510	2	20260511	0.45408197576999665	91.75	10000	64	0.1	0.05	16	11.055957078933716	fresh-instance/full-test/sharded
freeze_top42_d2d	freeze	42	1	20260510	3	20260512	0.43309570322036745	91.85	10000	64	0.1	0.05	16	9.563048124313354	fresh-instance/full-test/sharded
fresh_all_analog	fresh	0	2	20260610	2	20260611	6.332811360168457	10.0	10000	64	0.1	0.05	16	11.120568752288818	fresh-instance/full-test/sharded
fresh_all_analog	fresh	0	2	20260610	3	20260612	6.386036017608642	10.0	10000	64	0.1	0.05	16	11.22317099571228	fresh-instance/full-test/sharded
freeze_top20_d2d	freeze	20	2	20260610	2	20260611	1.5630742546081542	61.65	10000	64	0.1	0.05	16	9.591079950332642	fresh-instance/full-test/sharded
freeze_top20_d2d	freeze	20	2	20260610	3	20260612	1.6015289054870605	61.63	10000	64	0.1	0.05	16	11.2933669090271	fresh-instance/full-test/sharded
freeze_top30_d2d	freeze	30	2	20260610	2	20260611	0.5512256164073944	86.83	10000	64	0.1	0.05	16	11.270632266998291	fresh-instance/full-test/sharded
freeze_top30_d2d	freeze	30	2	20260610	3	20260612	0.5397419307611883	86.88	10000	64	0.1	0.05	16	11.062663316726685	fresh-instance/full-test/sharded
freeze_top42_d2d	freeze	42	2	20260610	2	20260611	0.4554303192138672	91.27	10000	64	0.1	0.05	16	10.854781150817871	fresh-instance/full-test/sharded
freeze_top42_d2d	freeze	42	2	20260610	3	20260612	0.4423105914890766	91.55	10000	64	0.1	0.05	16	9.754780054092407	fresh-instance/full-test/sharded
fresh_all_analog	fresh	0	3	20260710	2	20260711	6.181790073394775	10.0	10000	64	0.1	0.05	16	10.380207300186157	fresh-instance/full-test/sharded
fresh_all_analog	fresh	0	3	20260710	3	20260712	6.100457013702393	10.0	10000	64	0.1	0.05	16	10.650632858276367	fresh-instance/full-test/sharded
freeze_top20_d2d	freeze	20	3	20260710	2	20260711	1.1646873797416688	71.15	10000	64	0.1	0.05	16	10.727367401123047	fresh-instance/full-test/sharded
freeze_top20_d2d	freeze	20	3	20260710	3	20260712	1.2045591401815414	70.43	10000	64	0.1	0.05	16	10.638300657272339	fresh-instance/full-test/sharded
freeze_top30_d2d	freeze	30	3	20260710	2	20260711	0.5888514855384827	86.33	10000	64	0.1	0.05	16	9.811195850372314	fresh-instance/full-test/sharded
freeze_top30_d2d	freeze	30	3	20260710	3	20260712	0.5976623907566071	86.27	10000	64	0.1	0.05	16	10.6496102809906	fresh-instance/full-test/sharded
freeze_top42_d2d	freeze	42	3	20260710	2	20260711	0.4446607323348522	91.63	10000	64	0.1	0.05	16	10.651776790618896	fresh-instance/full-test/sharded
freeze_top42_d2d	freeze	42	3	20260710	3	20260712	0.45148295420408247	91.85	10000	64	0.1	0.05	16	10.729099988937378	fresh-instance/full-test/sharded
fresh_all_analog	fresh	0	4	20260810	2	20260811	6.318553282928467	10.0	10000	64	0.1	0.05	16	11.488811254501343	fresh-instance/full-test/sharded
fresh_all_analog	fresh	0	4	20260810	3	20260812	6.331987142944336	10.0	10000	64	0.1	0.05	16	10.633616924285889	fresh-instance/full-test/sharded
freeze_top20_d2d	freeze	20	4	20260810	2	20260811	1.201699430656433	70.11	10000	64	0.1	0.05	16	10.67280912399292	fresh-instance/full-test/sharded
freeze_top20_d2d	freeze	20	4	20260810	3	20260812	1.1918395990371704	69.68	10000	64	0.1	0.05	16	10.592052221298218	fresh-instance/full-test/sharded
freeze_top30_d2d	freeze	30	4	20260810	2	20260811	0.5715606098651886	86.38	10000	64	0.1	0.05	16	10.719779968261719	fresh-instance/full-test/sharded
freeze_top30_d2d	freeze	30	4	20260810	3	20260812	0.5756496443271637	86.04	10000	64	0.1	0.05	16	9.799245595932007	fresh-instance/full-test/sharded
freeze_top42_d2d	freeze	42	4	20260810	2	20260811	0.4441565209195018	91.78	10000	64	0.1	0.05	16	10.777673244476318	fresh-instance/full-test/sharded
freeze_top42_d2d	freeze	42	4	20260810	3	20260812	0.45608908150196076	91.79	10000	64	0.1	0.05	16	11.117667198181152	fresh-instance/full-test/sharded
fresh_all_analog	fresh	0	5	20260910	2	20260911	5.882533833312988	10.0	10000	64	0.1	0.05	16	10.599473476409912	fresh-instance/full-test/sharded
fresh_all_analog	fresh	0	5	20260910	3	20260912	5.9347352806091305	10.0	10000	64	0.1	0.05	16	11.169871807098389	fresh-instance/full-test/sharded
freeze_top20_d2d	freeze	20	5	20260910	2	20260911	1.3865599132537842	66.58	10000	64	0.1	0.05	16	10.897288084030151	fresh-instance/full-test/sharded
freeze_top20_d2d	freeze	20	5	20260910	3	20260912	1.4322546920776367	65.51	10000	64	0.1	0.05	16	9.688768148422241	fresh-instance/full-test/sharded
freeze_top30_d2d	freeze	30	5	20260910	2	20260911	0.5154943466663361	87.65	10000	64	0.1	0.05	16	10.971903800964355	fresh-instance/full-test/sharded
freeze_top30_d2d	freeze	30	5	20260910	3	20260912	0.500081445646286	87.96	10000	64	0.1	0.05	16	10.963619947433472	fresh-instance/full-test/sharded
freeze_top42_d2d	freeze	42	5	20260910	2	20260911	0.4562536880970001	91.47	10000	64	0.1	0.05	16	10.333946228027344	fresh-instance/full-test/sharded
freeze_top42_d2d	freeze	42	5	20260910	3	20260912	0.4286618154644966	91.7	10000	64	0.1	0.05	16	11.241376638412476	fresh-instance/full-test/sharded
fresh_all_analog	fresh	0	6	20261010	2	20261011	5.782129029846192	10.01	10000	64	0.1	0.05	16	10.910948514938354	fresh-instance/full-test/sharded
fresh_all_analog	fresh	0	6	20261010	3	20261012	5.842540058135986	10.03	10000	64	0.1	0.05	16	9.769104719161987	fresh-instance/full-test/sharded
freeze_top20_d2d	freeze	20	6	20261010	2	20261011	1.2192044687271117	69.43	10000	64	0.1	0.05	16	11.337028503417969	fresh-instance/full-test/sharded
freeze_top20_d2d	freeze	20	6	20261010	3	20261012	1.1911436601638794	70.15	10000	64	0.1	0.05	16	10.985444068908691	fresh-instance/full-test/sharded
freeze_top30_d2d	freeze	30	6	20261010	2	20261011	0.5559840329170227	86.31	10000	64	0.1	0.05	16	9.744294881820679	fresh-instance/full-test/sharded
freeze_top30_d2d	freeze	30	6	20261010	3	20261012	0.5573601044297218	86.26	10000	64	0.1	0.05	16	11.63296914100647	fresh-instance/full-test/sharded
freeze_top42_d2d	freeze	42	6	20261010	2	20261011	0.4518723969221115	91.49	10000	64	0.1	0.05	16	11.00581669807434	fresh-instance/full-test/sharded
freeze_top42_d2d	freeze	42	6	20261010	3	20261012	0.44755650148689746	91.7	10000	64	0.1	0.05	16	9.44178557395935	fresh-instance/full-test/sharded
fresh_all_analog	fresh	0	7	20261110	2	20261111	6.086940235900879	10.0	10000	64	0.1	0.05	16	11.536799669265747	fresh-instance/full-test/sharded
fresh_all_analog	fresh	0	7	20261110	3	20261112	6.06793592453003	10.0	10000	64	0.1	0.05	16	11.019960165023804	fresh-instance/full-test/sharded
freeze_top20_d2d	freeze	20	7	20261110	2	20261111	1.3424624156951905	67.23	10000	64	0.1	0.05	16	9.53443717956543	fresh-instance/full-test/sharded
freeze_top20_d2d	freeze	20	7	20261110	3	20261112	1.3623076573371886	66.09	10000	64	0.1	0.05	16	11.549628734588623	fresh-instance/full-test/sharded
freeze_top30_d2d	freeze	30	7	20261110	2	20261111	0.6640239187240601	84.56	10000	64	0.1	0.05	16	10.883724212646484	fresh-instance/full-test/sharded
freeze_top30_d2d	freeze	30	7	20261110	3	20261112	0.6568164383649826	84.49	10000	64	0.1	0.05	16	9.606820344924927	fresh-instance/full-test/sharded
freeze_top42_d2d	freeze	42	7	20261110	2	20261111	0.45812278394699096	91.68	10000	64	0.1	0.05	16	11.5394606590271	fresh-instance/full-test/sharded
freeze_top42_d2d	freeze	42	7	20261110	3	20261112	0.453926412987709	91.63	10000	64	0.1	0.05	16	9.738110542297363	fresh-instance/full-test/sharded
fresh_all_analog	fresh	0	8	20261210	2	20261211	6.164319406127929	10.0	10000	64	0.1	0.05	16	11.168737649917603	fresh-instance/full-test/sharded
fresh_all_analog	fresh	0	8	20261210	3	20261212	6.093858616638183	10.0	10000	64	0.1	0.05	16	11.183282852172852	fresh-instance/full-test/sharded
freeze_top20_d2d	freeze	20	8	20261210	2	20261211	1.302451124572754	69.71	10000	64	0.1	0.05	16	9.724743843078613	fresh-instance/full-test/sharded
freeze_top20_d2d	freeze	20	8	20261210	3	20261212	1.3305337463378906	69.44	10000	64	0.1	0.05	16	11.02368450164795	fresh-instance/full-test/sharded
freeze_top30_d2d	freeze	30	8	20261210	2	20261211	0.6167574970245361	85.97	10000	64	0.1	0.05	16	11.224881649017334	fresh-instance/full-test/sharded
freeze_top30_d2d	freeze	30	8	20261210	3	20261212	0.5977663692474365	86.19	10000	64	0.1	0.05	16	9.77180290222168	fresh-instance/full-test/sharded
freeze_top42_d2d	freeze	42	8	20261210	2	20261211	0.4621508228540421	91.52	10000	64	0.1	0.05	16	11.099114894866943	fresh-instance/full-test/sharded
freeze_top42_d2d	freeze	42	8	20261210	3	20261212	0.448413800406456	91.79	10000	64	0.1	0.05	16	11.196220636367798	fresh-instance/full-test/sharded
fresh_all_analog	fresh	0	9	20261310	2	20261311	6.254871774291992	10.0	10000	64	0.1	0.05	16	9.667371988296509	fresh-instance/full-test/sharded
fresh_all_analog	fresh	0	9	20261310	3	20261312	6.283541440582275	10.0	10000	64	0.1	0.05	16	11.07539987564087	fresh-instance/full-test/sharded
freeze_top20_d2d	freeze	20	9	20261310	2	20261311	1.1267482763290406	71.7	10000	64	0.1	0.05	16	11.193260192871094	fresh-instance/full-test/sharded
freeze_top20_d2d	freeze	20	9	20261310	3	20261312	1.1922837493896485	70.43	10000	64	0.1	0.05	16	10.901991128921509	fresh-instance/full-test/sharded
freeze_top30_d2d	freeze	30	9	20261310	2	20261311	0.6485102117300033	85.38	10000	64	0.1	0.05	16	10.804977416992188	fresh-instance/full-test/sharded
freeze_top30_d2d	freeze	30	9	20261310	3	20261312	0.67028890260458	84.83	10000	64	0.1	0.05	16	10.239116907119751	fresh-instance/full-test/sharded
freeze_top42_d2d	freeze	42	9	20261310	2	20261311	0.46376877003908157	91.69	10000	64	0.1	0.05	16	10.629294872283936	fresh-instance/full-test/sharded
freeze_top42_d2d	freeze	42	9	20261310	3	20261312	0.45691406274475155	91.42	10000	64	0.1	0.05	16	10.658929824829102	fresh-instance/full-test/sharded
fresh_all_analog	fresh	0	10	20261410	2	20261411	5.886983753204346	10.0	10000	64	0.1	0.05	16	9.740901708602905	fresh-instance/full-test/sharded
fresh_all_analog	fresh	0	10	20261410	3	20261412	5.924245189666748	10.0	10000	64	0.1	0.05	16	10.528799057006836	fresh-instance/full-test/sharded
freeze_top20_d2d	freeze	20	10	20261410	2	20261411	1.536793204498291	62.12	10000	64	0.1	0.05	16	10.547486782073975	fresh-instance/full-test/sharded
freeze_top20_d2d	freeze	20	10	20261410	3	20261412	1.4424168930053711	63.67	10000	64	0.1	0.05	16	10.626707077026367	fresh-instance/full-test/sharded
freeze_top30_d2d	freeze	30	10	20261410	2	20261411	0.6520496323108673	84.74	10000	64	0.1	0.05	16	10.97647500038147	fresh-instance/full-test/sharded
freeze_top30_d2d	freeze	30	10	20261410	3	20261412	0.6163196582794189	85.68	10000	64	0.1	0.05	16	11.23917007446289	fresh-instance/full-test/sharded
freeze_top42_d2d	freeze	42	10	20261410	2	20261411	0.45493945412635806	91.68	10000	64	0.1	0.05	16	10.61937141418457	fresh-instance/full-test/sharded
freeze_top42_d2d	freeze	42	10	20261410	3	20261412	0.4493327551484108	91.34	10000	64	0.1	0.05	16	10.642444372177124	fresh-instance/full-test/sharded
