rank	layer_id	module_path	role	stage	layer_type	diff_pair_arrays_128	parameter_count	mean_acc_drop	std_acc_drop	mean_loss_delta	std_loss_delta	n_seeds	subset_size	dataset	evidence_grade
1	37	stages.3.blocks.0.mlp.fc2	mlp_fc2	stage_3	AnalogLinear	60	409920	83.59375	1.2807497117777344	8.046876336137453	0.610520652636052	3	512	cifar10	pilot/provisional
2	9	stages.1.blocks.1.mlp.fc2	mlp_fc2	stage_1	AnalogLinear	8	65664	26.236979166666668	14.32898190708222	1.8656612088282902	1.2208891138327558	3	512	cifar10	pilot/provisional
3	33	stages.2.blocks.5.mlp.fc2	mlp_fc2	stage_2	AnalogLinear	20	102560	9.114583333333334	5.041686170976392	0.5165240913629532	0.30412013406158833	3	512	cifar10	pilot/provisional
4	28	stages.2.blocks.4.mlp.fc1	mlp_fc1	stage_2	AnalogLinear	20	103040	7.942708333333333	1.3294647042097745	0.3308071444431941	0.10530512232116444	3	512	cifar10	pilot/provisional
5	21	stages.2.blocks.2.mlp.fc2	mlp_fc2	stage_2	AnalogLinear	20	102560	3.125	0.5167483029423029	0.15421390036741892	0.06012661559394141	3	512	cifar10	pilot/provisional
6	36	stages.3.blocks.0.mlp.fc1	mlp_fc1	stage_3	AnalogLinear	60	410880	2.34375	0.5167483029423029	0.08534444868564606	0.028854164866198823	3	512	cifar10	pilot/provisional
7	8	stages.1.blocks.1.mlp.fc1	mlp_fc1	stage_1	AnalogLinear	8	66048	1.6276041666666667	0.40657539052072905	0.08018384377161662	0.02532587921905343	3	512	cifar10	pilot/provisional
8	4	stages.1.blocks.0.mlp.fc1	mlp_fc1	stage_1	AnalogLinear	8	66048	1.4973958333333333	0.22552744890219756	0.08557265996932983	0.05579858416715137	3	512	cifar10	pilot/provisional
9	20	stages.2.blocks.2.mlp.fc1	mlp_fc1	stage_2	AnalogLinear	20	103040	1.1067708333333333	0.8807128423482216	0.052784969409306846	0.05639898534519442	3	512	cifar10	pilot/provisional
10	13	stages.2.blocks.0.mlp.fc2	mlp_fc2	stage_2	AnalogLinear	20	102560	1.0416666666666667	0.40657539052072905	0.06920335193475087	0.02810533408992175	3	512	cifar10	pilot/provisional
11	17	stages.2.blocks.1.mlp.fc2	mlp_fc2	stage_2	AnalogLinear	20	102560	1.0416666666666667	0.11276372445109878	0.04706262548764547	0.006748935353416095	3	512	cifar10	pilot/provisional
12	12	stages.2.blocks.0.mlp.fc1	mlp_fc1	stage_2	AnalogLinear	20	103040	1.0416666666666667	0.11276372445109878	0.034313430388768516	0.020144984900609706	3	512	cifar10	pilot/provisional
13	24	stages.2.blocks.3.mlp.fc1	mlp_fc1	stage_2	AnalogLinear	20	103040	0.8463541666666666	0.29834477180702085	0.022558396061261494	0.022317665599190923	3	512	cifar10	pilot/provisional
14	10	stages.2.blocks.0.attn.qkv	attention_qkv	stage_2	AnalogLinear	16	77280	0.6510416666666666	0.9021097956087902	0.06028466920057932	0.029712858590891646	3	512	cifar10	pilot/provisional
15	22	stages.2.blocks.3.attn.qkv	attention_qkv	stage_2	AnalogLinear	16	77280	0.6510416666666666	0.22552744890219756	0.05119485159715017	0.011353442004551887	3	512	cifar10	pilot/provisional
16	14	stages.2.blocks.1.attn.qkv	attention_qkv	stage_2	AnalogLinear	16	77280	0.6510416666666666	0.29834477180702085	0.04159053166707357	0.0027722436765634764	3	512	cifar10	pilot/provisional
17	1	patch_embed.conv2.conv	patch_embed_conv	patch_embed	AnalogConv2d	6	18432	0.5859375	0.5167483029423029	0.0313067634900411	0.015581217537559517	3	512	cifar10	pilot/provisional
18	29	stages.2.blocks.4.mlp.fc2	mlp_fc2	stage_2	AnalogLinear	20	102560	0.5859375	1.014873520059889	0.013779898484547934	0.048389372199406956	3	512	cifar10	pilot/provisional
19	19	stages.2.blocks.2.attn.proj	attention_proj	stage_2	AnalogLinear	8	25760	0.5859375	0.78125	-0.008027945955594381	0.021498833155712428	3	512	cifar10	pilot/provisional
20	0	patch_embed.conv1.conv	patch_embed_conv	patch_embed	AnalogConv2d	2	864	0.5208333333333334	0.9634536840461422	0.06992384791374207	0.031373298270891234	3	512	cifar10	pilot/provisional
21	26	stages.2.blocks.4.attn.qkv	attention_qkv	stage_2	AnalogLinear	16	77280	0.5208333333333334	0.8131507810414581	0.0468717614809672	0.024514511130352395	3	512	cifar10	pilot/provisional
22	27	stages.2.blocks.4.attn.proj	attention_proj	stage_2	AnalogLinear	8	25760	0.4557291666666667	0.29834477180702085	0.007422978679339091	0.010538727788106515	3	512	cifar10	pilot/provisional
23	6	stages.1.blocks.1.attn.qkv	attention_qkv	stage_1	AnalogLinear	6	49536	0.390625	0.33829117335329634	0.028317953149477642	0.02185013163048587	3	512	cifar10	pilot/provisional
24	35	stages.3.blocks.0.attn.proj	attention_proj	stage_3	AnalogLinear	18	102720	0.390625	0.390625	0.028121888637542725	0.01607257115654955	3	512	cifar10	pilot/provisional
25	30	stages.2.blocks.5.attn.qkv	attention_qkv	stage_2	AnalogLinear	16	77280	0.390625	0.1953125	0.018982867399851482	0.015071186616748855	3	512	cifar10	pilot/provisional
26	11	stages.2.blocks.0.attn.proj	attention_proj	stage_2	AnalogLinear	8	25760	0.3255208333333333	1.0022659061419694	0.015305077036221823	0.03496379773445799	3	512	cifar10	pilot/provisional
27	7	stages.1.blocks.1.attn.proj	attention_proj	stage_1	AnalogLinear	2	16512	0.3255208333333333	0.5966895436140417	0.005348667502403259	0.014406943238263747	3	512	cifar10	pilot/provisional
28	16	stages.2.blocks.1.mlp.fc1	mlp_fc1	stage_2	AnalogLinear	20	103040	0.2604166666666667	0.40657539052072905	0.04058226943016052	0.02654755398157727	3	512	cifar10	pilot/provisional
29	31	stages.2.blocks.5.attn.proj	attention_proj	stage_2	AnalogLinear	8	25760	0.2604166666666667	0.40657539052072905	0.011675889293352762	0.003996514380199355	3	512	cifar10	pilot/provisional
30	25	stages.2.blocks.3.mlp.fc2	mlp_fc2	stage_2	AnalogLinear	20	102560	0.1953125	0.7042092334890604	-0.018832460045814514	0.010095465323285535	3	512	cifar10	pilot/provisional
31	23	stages.2.blocks.3.attn.proj	attention_proj	stage_2	AnalogLinear	8	25760	0.13020833333333334	0.40657539052072905	0.021559834480285645	0.018245931997063543	3	512	cifar10	pilot/provisional
32	39	stages.3.blocks.1.attn.proj	attention_proj	stage_3	AnalogLinear	18	102720	0.13020833333333334	0.4915256793796061	0.014041254917780558	0.009026663612812208	3	512	cifar10	pilot/provisional
33	18	stages.2.blocks.2.attn.qkv	attention_qkv	stage_2	AnalogLinear	16	77280	0.13020833333333334	1.2404009689620867	-0.008224492271741232	0.043251228006669196	3	512	cifar10	pilot/provisional
34	5	stages.1.blocks.0.mlp.fc2	mlp_fc2	stage_1	AnalogLinear	8	65664	0.06510416666666667	0.29834477180702085	0.027233997980753582	0.022819413411331695	3	512	cifar10	pilot/provisional
35	34	stages.3.blocks.0.attn.qkv	attention_qkv	stage_3	AnalogLinear	48	308160	0.06510416666666667	0.9230108645024626	-0.012253577510515848	0.01637943552374611	3	512	cifar10	pilot/provisional
36	41	stages.3.blocks.1.mlp.fc2	mlp_fc2	stage_3	AnalogLinear	60	409920	0.06510416666666667	0.11276372445109878	-0.030324349800745647	0.012371701691438702	3	512	cifar10	pilot/provisional
37	40	stages.3.blocks.1.mlp.fc1	mlp_fc1	stage_3	AnalogLinear	60	410880	0.0	0.5167483029423029	0.0027231723070144653	0.002455660543710509	3	512	cifar10	pilot/provisional
38	2	stages.1.blocks.0.attn.qkv	attention_qkv	stage_1	AnalogLinear	6	49536	0.0	0.5167483029423029	5.652010440826416e-05	0.006204223278148745	3	512	cifar10	pilot/provisional
39	32	stages.2.blocks.5.mlp.fc1	mlp_fc1	stage_2	AnalogLinear	20	103040	0.0	0.1953125	-0.0260075976451238	0.013384864169889576	3	512	cifar10	pilot/provisional
40	38	stages.3.blocks.1.attn.qkv	attention_qkv	stage_3	AnalogLinear	48	308160	-0.06510416666666667	0.4915256793796061	-0.0024567097425460815	0.004380911653139591	3	512	cifar10	pilot/provisional
41	15	stages.2.blocks.1.attn.proj	attention_proj	stage_2	AnalogLinear	8	25760	-0.1953125	0.5167483029423029	0.0021337966124216714	0.02039402169609496	3	512	cifar10	pilot/provisional
42	3	stages.1.blocks.0.attn.proj	attention_proj	stage_1	AnalogLinear	2	16512	-0.390625	0.390625	6.943941116333008e-05	0.01451148543350224	3	512	cifar10	pilot/provisional
