strategy	kind	protected_k	seed	loss	accuracy	test_size	dataset	sigma_d2d	sigma_c2c	unprotected_n_states	protected_layers	checkpoint_path	evidence_grade	elapsed_seconds
source_checkpoint_d2d	source	0	20260510	0.4392320050470531	92.12	10000	cifar10	0.1	0.05	16		/home/qiaosir/projects/compute_vit/checkpoints/V4_hybrid_standard_noise_hat_best.pt	full-test/provisional	23.65152335166931
source_checkpoint_d2d	source	0	20260511	0.42739024559184907	92.02	10000	cifar10	0.1	0.05	16		/home/qiaosir/projects/compute_vit/checkpoints/V4_hybrid_standard_noise_hat_best.pt	full-test/provisional	10.620758533477783
source_checkpoint_d2d	source	0	20260512	0.45452344059944155	91.74	10000	cifar10	0.1	0.05	16		/home/qiaosir/projects/compute_vit/checkpoints/V4_hybrid_standard_noise_hat_best.pt	full-test/provisional	11.394972324371338
fresh_all_analog	fresh	0	20260510	6.140209930419922	10.0	10000	cifar10	0.1	0.05	16		/home/qiaosir/projects/compute_vit/checkpoints/V4_hybrid_standard_noise_hat_best.pt	full-test/provisional	10.6571683883667
fresh_all_analog	fresh	0	20260511	6.429238637542724	10.0	10000	cifar10	0.1	0.05	16		/home/qiaosir/projects/compute_vit/checkpoints/V4_hybrid_standard_noise_hat_best.pt	full-test/provisional	10.444252490997314
fresh_all_analog	fresh	0	20260512	6.246400325012207	10.0	10000	cifar10	0.1	0.05	16		/home/qiaosir/projects/compute_vit/checkpoints/V4_hybrid_standard_noise_hat_best.pt	full-test/provisional	11.327017307281494
freeze_top10_d2d	freeze	10	20260510	5.0228170372009275	18.31	10000	cifar10	0.1	0.05	16	stages.3.blocks.0.mlp.fc2;stages.1.blocks.1.mlp.fc2;stages.2.blocks.5.mlp.fc2;stages.2.blocks.4.mlp.fc1;stages.2.blocks.2.mlp.fc2;stages.3.blocks.0.mlp.fc1;stages.1.blocks.1.mlp.fc1;stages.1.blocks.0.mlp.fc1;stages.2.blocks.2.mlp.fc1;stages.2.blocks.0.mlp.fc2	/home/qiaosir/projects/compute_vit/checkpoints/V4_hybrid_standard_noise_hat_best.pt	full-test/provisional	10.519084215164185
freeze_top10_d2d	freeze	10	20260511	3.926950510787964	23.4	10000	cifar10	0.1	0.05	16	stages.3.blocks.0.mlp.fc2;stages.1.blocks.1.mlp.fc2;stages.2.blocks.5.mlp.fc2;stages.2.blocks.4.mlp.fc1;stages.2.blocks.2.mlp.fc2;stages.3.blocks.0.mlp.fc1;stages.1.blocks.1.mlp.fc1;stages.1.blocks.0.mlp.fc1;stages.2.blocks.2.mlp.fc1;stages.2.blocks.0.mlp.fc2	/home/qiaosir/projects/compute_vit/checkpoints/V4_hybrid_standard_noise_hat_best.pt	full-test/provisional	10.641905784606934
freeze_top10_d2d	freeze	10	20260512	3.98423656578064	25.61	10000	cifar10	0.1	0.05	16	stages.3.blocks.0.mlp.fc2;stages.1.blocks.1.mlp.fc2;stages.2.blocks.5.mlp.fc2;stages.2.blocks.4.mlp.fc1;stages.2.blocks.2.mlp.fc2;stages.3.blocks.0.mlp.fc1;stages.1.blocks.1.mlp.fc1;stages.1.blocks.0.mlp.fc1;stages.2.blocks.2.mlp.fc1;stages.2.blocks.0.mlp.fc2	/home/qiaosir/projects/compute_vit/checkpoints/V4_hybrid_standard_noise_hat_best.pt	full-test/provisional	11.345044612884521
freeze_top13_d2d	freeze	13	20260510	3.092243298339844	37.72	10000	cifar10	0.1	0.05	16	stages.3.blocks.0.mlp.fc2;stages.1.blocks.1.mlp.fc2;stages.2.blocks.5.mlp.fc2;stages.2.blocks.4.mlp.fc1;stages.2.blocks.2.mlp.fc2;stages.3.blocks.0.mlp.fc1;stages.1.blocks.1.mlp.fc1;stages.1.blocks.0.mlp.fc1;stages.2.blocks.2.mlp.fc1;stages.2.blocks.0.mlp.fc2;stages.2.blocks.1.mlp.fc2;stages.2.blocks.0.mlp.fc1;stages.2.blocks.3.mlp.fc1	/home/qiaosir/projects/compute_vit/checkpoints/V4_hybrid_standard_noise_hat_best.pt	full-test/provisional	10.475127935409546
freeze_top13_d2d	freeze	13	20260511	3.5069342422485352	31.56	10000	cifar10	0.1	0.05	16	stages.3.blocks.0.mlp.fc2;stages.1.blocks.1.mlp.fc2;stages.2.blocks.5.mlp.fc2;stages.2.blocks.4.mlp.fc1;stages.2.blocks.2.mlp.fc2;stages.3.blocks.0.mlp.fc1;stages.1.blocks.1.mlp.fc1;stages.1.blocks.0.mlp.fc1;stages.2.blocks.2.mlp.fc1;stages.2.blocks.0.mlp.fc2;stages.2.blocks.1.mlp.fc2;stages.2.blocks.0.mlp.fc1;stages.2.blocks.3.mlp.fc1	/home/qiaosir/projects/compute_vit/checkpoints/V4_hybrid_standard_noise_hat_best.pt	full-test/provisional	10.297276496887207
freeze_top13_d2d	freeze	13	20260512	3.4418349643707273	35.15	10000	cifar10	0.1	0.05	16	stages.3.blocks.0.mlp.fc2;stages.1.blocks.1.mlp.fc2;stages.2.blocks.5.mlp.fc2;stages.2.blocks.4.mlp.fc1;stages.2.blocks.2.mlp.fc2;stages.3.blocks.0.mlp.fc1;stages.1.blocks.1.mlp.fc1;stages.1.blocks.0.mlp.fc1;stages.2.blocks.2.mlp.fc1;stages.2.blocks.0.mlp.fc2;stages.2.blocks.1.mlp.fc2;stages.2.blocks.0.mlp.fc1;stages.2.blocks.3.mlp.fc1	/home/qiaosir/projects/compute_vit/checkpoints/V4_hybrid_standard_noise_hat_best.pt	full-test/provisional	11.028810977935791
freeze_top20_d2d	freeze	20	20260510	1.3272286744117736	68.54	10000	cifar10	0.1	0.05	16	stages.3.blocks.0.mlp.fc2;stages.1.blocks.1.mlp.fc2;stages.2.blocks.5.mlp.fc2;stages.2.blocks.4.mlp.fc1;stages.2.blocks.2.mlp.fc2;stages.3.blocks.0.mlp.fc1;stages.1.blocks.1.mlp.fc1;stages.1.blocks.0.mlp.fc1;stages.2.blocks.2.mlp.fc1;stages.2.blocks.0.mlp.fc2;stages.2.blocks.1.mlp.fc2;stages.2.blocks.0.mlp.fc1;stages.2.blocks.3.mlp.fc1;stages.2.blocks.0.attn.qkv;stages.2.blocks.3.attn.qkv;stages.2.blocks.1.attn.qkv;patch_embed.conv2.conv;stages.2.blocks.4.mlp.fc2;stages.2.blocks.2.attn.proj;patch_embed.conv1.conv	/home/qiaosir/projects/compute_vit/checkpoints/V4_hybrid_standard_noise_hat_best.pt	full-test/provisional	10.518451452255249
freeze_top20_d2d	freeze	20	20260511	1.5364329219818116	62.84	10000	cifar10	0.1	0.05	16	stages.3.blocks.0.mlp.fc2;stages.1.blocks.1.mlp.fc2;stages.2.blocks.5.mlp.fc2;stages.2.blocks.4.mlp.fc1;stages.2.blocks.2.mlp.fc2;stages.3.blocks.0.mlp.fc1;stages.1.blocks.1.mlp.fc1;stages.1.blocks.0.mlp.fc1;stages.2.blocks.2.mlp.fc1;stages.2.blocks.0.mlp.fc2;stages.2.blocks.1.mlp.fc2;stages.2.blocks.0.mlp.fc1;stages.2.blocks.3.mlp.fc1;stages.2.blocks.0.attn.qkv;stages.2.blocks.3.attn.qkv;stages.2.blocks.1.attn.qkv;patch_embed.conv2.conv;stages.2.blocks.4.mlp.fc2;stages.2.blocks.2.attn.proj;patch_embed.conv1.conv	/home/qiaosir/projects/compute_vit/checkpoints/V4_hybrid_standard_noise_hat_best.pt	full-test/provisional	10.452982187271118
freeze_top20_d2d	freeze	20	20260512	1.3426958082199096	66.4	10000	cifar10	0.1	0.05	16	stages.3.blocks.0.mlp.fc2;stages.1.blocks.1.mlp.fc2;stages.2.blocks.5.mlp.fc2;stages.2.blocks.4.mlp.fc1;stages.2.blocks.2.mlp.fc2;stages.3.blocks.0.mlp.fc1;stages.1.blocks.1.mlp.fc1;stages.1.blocks.0.mlp.fc1;stages.2.blocks.2.mlp.fc1;stages.2.blocks.0.mlp.fc2;stages.2.blocks.1.mlp.fc2;stages.2.blocks.0.mlp.fc1;stages.2.blocks.3.mlp.fc1;stages.2.blocks.0.attn.qkv;stages.2.blocks.3.attn.qkv;stages.2.blocks.1.attn.qkv;patch_embed.conv2.conv;stages.2.blocks.4.mlp.fc2;stages.2.blocks.2.attn.proj;patch_embed.conv1.conv	/home/qiaosir/projects/compute_vit/checkpoints/V4_hybrid_standard_noise_hat_best.pt	full-test/provisional	11.13082218170166
freeze_top30_d2d	freeze	30	20260510	0.588496504688263	86.32	10000	cifar10	0.1	0.05	16	stages.3.blocks.0.mlp.fc2;stages.1.blocks.1.mlp.fc2;stages.2.blocks.5.mlp.fc2;stages.2.blocks.4.mlp.fc1;stages.2.blocks.2.mlp.fc2;stages.3.blocks.0.mlp.fc1;stages.1.blocks.1.mlp.fc1;stages.1.blocks.0.mlp.fc1;stages.2.blocks.2.mlp.fc1;stages.2.blocks.0.mlp.fc2;stages.2.blocks.1.mlp.fc2;stages.2.blocks.0.mlp.fc1;stages.2.blocks.3.mlp.fc1;stages.2.blocks.0.attn.qkv;stages.2.blocks.3.attn.qkv;stages.2.blocks.1.attn.qkv;patch_embed.conv2.conv;stages.2.blocks.4.mlp.fc2;stages.2.blocks.2.attn.proj;patch_embed.conv1.conv;stages.2.blocks.4.attn.qkv;stages.2.blocks.4.attn.proj;stages.1.blocks.1.attn.qkv;stages.3.blocks.0.attn.proj;stages.2.blocks.5.attn.qkv;stages.2.blocks.0.attn.proj;stages.1.blocks.1.attn.proj;stages.2.blocks.1.mlp.fc1;stages.2.blocks.5.attn.proj;stages.2.blocks.3.mlp.fc2	/home/qiaosir/projects/compute_vit/checkpoints/V4_hybrid_standard_noise_hat_best.pt	full-test/provisional	10.219282865524292
freeze_top30_d2d	freeze	30	20260511	0.6005010211467743	85.99	10000	cifar10	0.1	0.05	16	stages.3.blocks.0.mlp.fc2;stages.1.blocks.1.mlp.fc2;stages.2.blocks.5.mlp.fc2;stages.2.blocks.4.mlp.fc1;stages.2.blocks.2.mlp.fc2;stages.3.blocks.0.mlp.fc1;stages.1.blocks.1.mlp.fc1;stages.1.blocks.0.mlp.fc1;stages.2.blocks.2.mlp.fc1;stages.2.blocks.0.mlp.fc2;stages.2.blocks.1.mlp.fc2;stages.2.blocks.0.mlp.fc1;stages.2.blocks.3.mlp.fc1;stages.2.blocks.0.attn.qkv;stages.2.blocks.3.attn.qkv;stages.2.blocks.1.attn.qkv;patch_embed.conv2.conv;stages.2.blocks.4.mlp.fc2;stages.2.blocks.2.attn.proj;patch_embed.conv1.conv;stages.2.blocks.4.attn.qkv;stages.2.blocks.4.attn.proj;stages.1.blocks.1.attn.qkv;stages.3.blocks.0.attn.proj;stages.2.blocks.5.attn.qkv;stages.2.blocks.0.attn.proj;stages.1.blocks.1.attn.proj;stages.2.blocks.1.mlp.fc1;stages.2.blocks.5.attn.proj;stages.2.blocks.3.mlp.fc2	/home/qiaosir/projects/compute_vit/checkpoints/V4_hybrid_standard_noise_hat_best.pt	full-test/provisional	10.131438255310059
freeze_top30_d2d	freeze	30	20260512	0.5989446424007415	85.88	10000	cifar10	0.1	0.05	16	stages.3.blocks.0.mlp.fc2;stages.1.blocks.1.mlp.fc2;stages.2.blocks.5.mlp.fc2;stages.2.blocks.4.mlp.fc1;stages.2.blocks.2.mlp.fc2;stages.3.blocks.0.mlp.fc1;stages.1.blocks.1.mlp.fc1;stages.1.blocks.0.mlp.fc1;stages.2.blocks.2.mlp.fc1;stages.2.blocks.0.mlp.fc2;stages.2.blocks.1.mlp.fc2;stages.2.blocks.0.mlp.fc1;stages.2.blocks.3.mlp.fc1;stages.2.blocks.0.attn.qkv;stages.2.blocks.3.attn.qkv;stages.2.blocks.1.attn.qkv;patch_embed.conv2.conv;stages.2.blocks.4.mlp.fc2;stages.2.blocks.2.attn.proj;patch_embed.conv1.conv;stages.2.blocks.4.attn.qkv;stages.2.blocks.4.attn.proj;stages.1.blocks.1.attn.qkv;stages.3.blocks.0.attn.proj;stages.2.blocks.5.attn.qkv;stages.2.blocks.0.attn.proj;stages.1.blocks.1.attn.proj;stages.2.blocks.1.mlp.fc1;stages.2.blocks.5.attn.proj;stages.2.blocks.3.mlp.fc2	/home/qiaosir/projects/compute_vit/checkpoints/V4_hybrid_standard_noise_hat_best.pt	full-test/provisional	10.198858976364136
freeze_top42_d2d	freeze	42	20260510	0.4392320050470531	92.12	10000	cifar10	0.1	0.05	16	stages.3.blocks.0.mlp.fc2;stages.1.blocks.1.mlp.fc2;stages.2.blocks.5.mlp.fc2;stages.2.blocks.4.mlp.fc1;stages.2.blocks.2.mlp.fc2;stages.3.blocks.0.mlp.fc1;stages.1.blocks.1.mlp.fc1;stages.1.blocks.0.mlp.fc1;stages.2.blocks.2.mlp.fc1;stages.2.blocks.0.mlp.fc2;stages.2.blocks.1.mlp.fc2;stages.2.blocks.0.mlp.fc1;stages.2.blocks.3.mlp.fc1;stages.2.blocks.0.attn.qkv;stages.2.blocks.3.attn.qkv;stages.2.blocks.1.attn.qkv;patch_embed.conv2.conv;stages.2.blocks.4.mlp.fc2;stages.2.blocks.2.attn.proj;patch_embed.conv1.conv;stages.2.blocks.4.attn.qkv;stages.2.blocks.4.attn.proj;stages.1.blocks.1.attn.qkv;stages.3.blocks.0.attn.proj;stages.2.blocks.5.attn.qkv;stages.2.blocks.0.attn.proj;stages.1.blocks.1.attn.proj;stages.2.blocks.1.mlp.fc1;stages.2.blocks.5.attn.proj;stages.2.blocks.3.mlp.fc2;stages.2.blocks.3.attn.proj;stages.3.blocks.1.attn.proj;stages.2.blocks.2.attn.qkv;stages.1.blocks.0.mlp.fc2;stages.3.blocks.0.attn.qkv;stages.3.blocks.1.mlp.fc2;stages.3.blocks.1.mlp.fc1;stages.1.blocks.0.attn.qkv;stages.2.blocks.5.mlp.fc1;stages.3.blocks.1.attn.qkv;stages.2.blocks.1.attn.proj;stages.1.blocks.0.attn.proj	/home/qiaosir/projects/compute_vit/checkpoints/V4_hybrid_standard_noise_hat_best.pt	full-test/provisional	10.034920930862427
freeze_top42_d2d	freeze	42	20260511	0.42739024559184907	92.02	10000	cifar10	0.1	0.05	16	stages.3.blocks.0.mlp.fc2;stages.1.blocks.1.mlp.fc2;stages.2.blocks.5.mlp.fc2;stages.2.blocks.4.mlp.fc1;stages.2.blocks.2.mlp.fc2;stages.3.blocks.0.mlp.fc1;stages.1.blocks.1.mlp.fc1;stages.1.blocks.0.mlp.fc1;stages.2.blocks.2.mlp.fc1;stages.2.blocks.0.mlp.fc2;stages.2.blocks.1.mlp.fc2;stages.2.blocks.0.mlp.fc1;stages.2.blocks.3.mlp.fc1;stages.2.blocks.0.attn.qkv;stages.2.blocks.3.attn.qkv;stages.2.blocks.1.attn.qkv;patch_embed.conv2.conv;stages.2.blocks.4.mlp.fc2;stages.2.blocks.2.attn.proj;patch_embed.conv1.conv;stages.2.blocks.4.attn.qkv;stages.2.blocks.4.attn.proj;stages.1.blocks.1.attn.qkv;stages.3.blocks.0.attn.proj;stages.2.blocks.5.attn.qkv;stages.2.blocks.0.attn.proj;stages.1.blocks.1.attn.proj;stages.2.blocks.1.mlp.fc1;stages.2.blocks.5.attn.proj;stages.2.blocks.3.mlp.fc2;stages.2.blocks.3.attn.proj;stages.3.blocks.1.attn.proj;stages.2.blocks.2.attn.qkv;stages.1.blocks.0.mlp.fc2;stages.3.blocks.0.attn.qkv;stages.3.blocks.1.mlp.fc2;stages.3.blocks.1.mlp.fc1;stages.1.blocks.0.attn.qkv;stages.2.blocks.5.mlp.fc1;stages.3.blocks.1.attn.qkv;stages.2.blocks.1.attn.proj;stages.1.blocks.0.attn.proj	/home/qiaosir/projects/compute_vit/checkpoints/V4_hybrid_standard_noise_hat_best.pt	full-test/provisional	9.944793462753296
freeze_top42_d2d	freeze	42	20260512	0.45452344059944155	91.74	10000	cifar10	0.1	0.05	16	stages.3.blocks.0.mlp.fc2;stages.1.blocks.1.mlp.fc2;stages.2.blocks.5.mlp.fc2;stages.2.blocks.4.mlp.fc1;stages.2.blocks.2.mlp.fc2;stages.3.blocks.0.mlp.fc1;stages.1.blocks.1.mlp.fc1;stages.1.blocks.0.mlp.fc1;stages.2.blocks.2.mlp.fc1;stages.2.blocks.0.mlp.fc2;stages.2.blocks.1.mlp.fc2;stages.2.blocks.0.mlp.fc1;stages.2.blocks.3.mlp.fc1;stages.2.blocks.0.attn.qkv;stages.2.blocks.3.attn.qkv;stages.2.blocks.1.attn.qkv;patch_embed.conv2.conv;stages.2.blocks.4.mlp.fc2;stages.2.blocks.2.attn.proj;patch_embed.conv1.conv;stages.2.blocks.4.attn.qkv;stages.2.blocks.4.attn.proj;stages.1.blocks.1.attn.qkv;stages.3.blocks.0.attn.proj;stages.2.blocks.5.attn.qkv;stages.2.blocks.0.attn.proj;stages.1.blocks.1.attn.proj;stages.2.blocks.1.mlp.fc1;stages.2.blocks.5.attn.proj;stages.2.blocks.3.mlp.fc2;stages.2.blocks.3.attn.proj;stages.3.blocks.1.attn.proj;stages.2.blocks.2.attn.qkv;stages.1.blocks.0.mlp.fc2;stages.3.blocks.0.attn.qkv;stages.3.blocks.1.mlp.fc2;stages.3.blocks.1.mlp.fc1;stages.1.blocks.0.attn.qkv;stages.2.blocks.5.mlp.fc1;stages.3.blocks.1.attn.qkv;stages.2.blocks.1.attn.proj;stages.1.blocks.0.attn.proj	/home/qiaosir/projects/compute_vit/checkpoints/V4_hybrid_standard_noise_hat_best.pt	full-test/provisional	10.002401351928711
